iter	MultiClass
0	1.85568593111	1.77756402
2	1.70330024833	1.63619944244	1.57763489
5	1.520819488
6	1.468206454
7	1.419515187
8	1.373625189	9	1.331602981010	1.292352611	11	1.254177312	12	1.21910282
13	1.184845768
14	1.152928095
15	1.122821716	16	1.094203017	17	1.067280818	18	1.041397507
19	1.01636782020	0.9923448762121	0.9693326372222	0.9471231342323	0.9261563392424	0.905571051225	0.88672204
26	0.8677456332
27	0.8496035112
28	0.8321316853
29	0.8149747045
30	0.7984224003
31	0.7820446109
32	0.766912258
33	0.7523481318
34	0.7379520279
35	0.7244235472
36	0.7111191975
37	0.6982713538
38	0.6855456035
39	0.6731925247440	0.661314071441	0.6499120794442	0.6385775786443	0.6277018548444	0.617274699
45	0.6069119101
46	0.5912708048
47	0.5876550761
48	0.5783980046
49	0.569090875
550	0.5543832261551	0.5456728745252	0.5372493935353	0.529004354	054	0.521129155	055	0.513293856	056	0.505663557	057	0.498284158	58	0.4912314659	59	0.484047660	060	0.477170661	061	0.47076862	0.62	0.46433363	0.4646153053
64	0.4587007189
65	0.452628787
66	0.4468262599
67	0.4410141164
68	0.68	0.42847369	0.4297827903
70	0.424398139
71	0.4192527709
72	0.4142117951
73	0.4091984562
74	0.4042419144
75	0.3994055754
76	0.3948858423
77	0.3903748476
78	0.3857980975
79	0.3813707128
80	0.377290822
81	0.373012539
82	0.3688781715
83	0.3648083867
84	0.3609904205
85	0.3572650284
86	0.3534034408
87	0.3496769454
88	0.3461144887
89	0.3424863409
90	0.3389006715
91	0.3356561297
92	0.3323036339
93	0.3289941675
94	0.3258888019
95	0.3295	0.315196	0.396	0.3119597	0.397	0.3089398	0.398	0.3059299	0.399	0.30296100	0.100	0.3002101	0.3101	0.2976102	0.3102	0.2950103	0.3103	0.2923104	0.2104	0.2897105	0.2105	0.2872106	0.2106	0.2846107	0.2107	0.2821108	0.2108	0.279109	0.2854989305
110	0.2830870639
111	0.28111	0.272112	0.27112	0.270113	0.27113	0.268114	0.27114	0.266115	0.27115	0.264116	0.27116	0.26117	0.268117	0.26118	0.26118	0.258119	0.26119	0.256120	0.26120	0.254121	0.26121	0.252122	0.25122	0.250123	0.2568020172
124	0.2549579167
125	0.253341921
126	0.2516650531
127	0.2498607989
128	0.2481595376
129	0.246129	0.23130	0.2449150502
131	0.2433791948
132	0.2418868805
133	0.2403403586
134	0.2389141699
135	0.2375414383
136	0.2361839574
137	0.2347788755
138	0.23138	0.22139	0.232139	0.22140	0.230140	0.22141	0.229141	0.22142	0.228142	0.21143	0.226143	0.21144	0.225144	0.21145	0.224145	0.21146	0.223146	0.21147	0.2220649125
148	0.2208872695
149	0.219149	0.21150	0.218150	0.20151	0.217151	0.20152	0.2166491101
153	0.2155981611
154	0.2145351268
155	0.213155	0.20156	0.2125498782
157	0.2115320641
158	0.210516748
159	0.2095039467
160	0.2085687135
161	0.2075412839
162	0.2065530653
163	0.2056241303
164	0.2046994458
165	0.2039096202
166	0.2030593597
167	0.2021630496
168	0.2014008259
169	0.2005825731
170	0.1997612327
171	0.199083074
172	0.1983703426
173	0.1975715834
174	0.1967876562
175	0.1959676376
176	0.1952047146
177	0.1945034543
178	0.1938107131
179	0.193127681
180	0.1924929234
181	0.1918246258
182	0.1910918959
183	0.1903831089
184	0.1897260085
185	0.189000619
186	0.1882491481
187	0.1876196897
188	0.1869853952
189	0.1863620096
190	0.1858169302
191	0.1852318882
192	0.1846771448
193	0.1841157094
194	0.1834421706
195	0.1828745675
196	0.1822871497
197	0.1817909689
198	0.1813142586
199	0.1807830085
200	0.180244264
201	0.1797979238
202	0.1792178709
203	0.1786920639
204	0.1781945494
205	0.1776658705
206	0.1771179328
207	0.1766452777
208	0.1761775526
209	0.1757122136
210	0.1752833554
211	0.1748398395
212	0.1743689273
213	0.1739360432
214	0.1735382285
215	0.1731439694
216	0.1726496026
217	0.1722112993
218	0.1718179534
219	0.1714377184
220	0.1710453684
221	0.1705787309
222	0.170068636
223	0.1696234329
224	0.1692080632
225	0.1688338982
226	0.1684606138
227	0.1679336352
228	0.1674633678
229	0.1671417482
230	0.1668055501
231	0.1664065779
232	0.1659709291
233	0.1655841266
234	0.1652095656
235	0.1648333007
236	0.1644443326
237	0.1641067378
238	0.1637302773
239	0.1633512192
240	0.1630315681
241	0.1626938266
242	0.16234642682243	0.1620350855
244	0.161733502
245	0.1614230993
246	0.1610810766
247	0.1607391647
248	0.1603602316
249	0.1600582909
250	0.1597345698
251	0.1595353699
252	0.1592503144
253	0.1589172746
254	0.1587201503
255	0.1584110631
256	0.1581119051
257	0.1578259969
258	0.1575678356
259	0.1572041028
260	0.1569452339
261	0.1566391572
262	0.1563567144
263	0.1560679273
264	0.1557781174
265	0.1554335065
266	0.1551818026
267	0.1549410505
268	0.154666908
269	0.1544553182
270	0.1541584872
271	0.1538562135
272	0.1536245521
273	0.153249417
274	0.1529862066
275	0.1526845107
276	0.1524578169
277	0.1522644214
278	0.152034765
279	0.15173562
280	0.1514780865
281	0.1512380418
282	0.1509939526
283	0.1507439783
284	0.1504789715
285	0.1502617737
286	0.1500217895
287	0.1497509096
288	0.1495141769
289	0.149285742
290	0.1490424353
291	0.1488174698
292	0.1485671103
293	0.1483110193
294	0.1481212504
295	0.1478532788
296	0.1476410133
297	0.1474180609
298	0.1472234119
299	0.14701229
300	0.1468055109
301	0.1466027298
302	0.146464395
303	0.1462556849
304	0.1460433801
305	0.1458558886
306	0.1456257383
307	0.1454327098
308	0.1452236204
309	0.1450742246
310	0.1448765046
311	0.1446893664
312	0.1444873712
313	0.1442724518
314	0.1441184806
315	0.1438958897
316	0.1436629523
317	0.1434996014
318	0.1433246901
319	0.1431183517
320	0.1429004455
321	0.1427212751
322	0.1425200027
323	0.1423624591
324	0.1421341285
325	0.1418483706
326	0.1416782285
327	0.1415202147
328	0.1413597758
329	0.1411872693
330	0.1410401485
331	0.1408847688
332	0.1407363817
333	0.1405732988
334	0.1403971269
335	0.140197258
336	0.1400247388
337	0.1398524092
338	0.1396806505
339	0.1395159118
340	0.1393046281
341	0.1391196689
342	0.1389618639
343	0.1388076407
344	0.1385963433
345	0.1383882949
346	0.138231728
347	0.1380408279
348	0.137916897
349	0.1377498983
350	0.1375881641
351	0.137487154
352	0.1372885709
353	0.1371149426
354	0.136950969
355	0.1367624759
356	0.1366146793
357	0.1364915565
358	0.1363301648
359	0.1361884788
360	0.1359888797
361	0.1358006417
362	0.1356416678
363	0.1355118106
364	0.135388867
365	0.1352112437
366	0.1350519533
367	0.1349288018
368	0.1347610155
369	0.1345871353
370	0.1344535352
371	0.1342940476
372	0.1341488375
373	0.1340503148
374	0.1339486171
375	375	0.125921376	0376	0.125806377	0377	0.125689378	0378	0.125499379	0379	0.125370380	0380	0.125234381	381	0.1251150382	382	0.1250221383	383	0.1248648384	0.1326369695
385	0.1324855381
386386	0.12443297387387	0.124288683388	0.12418039133389	0.12400740139390	0.12386530391	0.1317736002
392	0.1316768376
393	0.131536568
394	0.1313987624
395	0.1312778519
396	0.131133217
397	0.1309810303
398	0.1308632992
399	0.1307439171
400	0.1305910347
401	0.1304611287
402	0.1303539425
403	0.1302392763
404	0.1300927415
405	0.1299661282
406	0.1298308932
407	0.1296507179
408408	0.12171049409409	0.12155184410410	0.12141889411411	0.12131113412412	0.12119517413413	0.12108793414414	0.12096219415415	0.12080125416416	0.12071001417417	0.12060343418418	0.12049576419419	0.12035517420420	0.12021034421421	0.12008182422422	0.11997807423423	0.11989084424424	0.1197974442425	0.11967495442426	0.11956186742427	0.11943751642428	0.11933156542429	0.11921569543430	0.1190604543
431	0.1189193793
432	0.1187841818
433	0.1186615401
434	0.118564025
435	0.1184511001
436	0.1183330815
437	0.1181737414
438	0.118040945
439	0.1179509747
440	0.1178317878
441	0.117714995
442	0.117596392
443	0.1174796083
444	0.1174014083
445	0.1173241678
446	0.117217131
447	0.1171286619
448	0.1170358314
449	0.1169121686
450	0.1168064669
451	0.1167261305
452	0.11662771
453	0.1165233178
454	0.1164458719
455	0.1163358178
456	0.1162784631
457	0.1161856525
458	0.1160829067
459	0.115939067
460	0.1158354026
461	0.1157051287
462	0.1155747632
463	0.1154901099
