iter	Passed	Remaining
0	370	740685
1	553	553096
2	714	475797
3	939	468985
4	1141	45533155	1292	42969266	1467	41781677	1720	42850488	1902	42086399	2124	422677110	2299	415879111	2499	414006112	2713	414759
13	2889	409833
14	3052	403903
15	3216	398818116	3381	394397117	3537	389549118	3723	388183
19	3888	384938220	4044	381145221	4189	376699222	4418	379759223	4707	387615224	4891	386391225	5064	384513226	5213	380965227	5423	381942228	5579	379196229	5761	378337330	6002	381252331	6199	381241332	6405	381801333	6623	383003334	6834	383735335	7063	385329336	7285	386544337	7445	384401338	7618	383081339	7765	380490440	7974	381035441	8144	379698442	8295	377557443	8478	376902444	8643	375529445	8804	37399246	8967	372631
447	9163	372641448	9392	373982449	9556	37272150	9724	371623
51	9922	371726
52	10132	372219
53	10373	373828
54	10568	373745
55	10790	374575
56	11017	375572
57	11238	376282
58	11403	375155
59	11617	375647
60	11798	375035
61	11994	374929
62	12165	374049
663	12299	372047664	12501	372162665	12717	372675666	12895	372040667	13071	37137268	13278	371601
669	13456	371024770	13624	370173771	13806	369707772	14006	369720773	14275	371554774	14444	370733775	14624	370226776	14810	369867777	14972	368933778	15163	368726779	15338	368118880	15541	368196881	15735	368059882	15959	368612
83	16134	368014884	16331	367932885	16548	368310886	16700	367228887	16890	366989888	17064	366413889	17239	365870990	17419	365431991	17579	364575992	17797	364951993	17997	364918994	18186	36469095	18367	364290
96	18586	364650
97	18824	365358
98	19037	365556
99	19233	365431
100	19403	364825
101	19579	364333
102	19735	363476
103	19951	363723
104	20152	363699
105	20353	363666
106	20587	364217
107	20785	364136
108	20932	363143
1109	21060	3618651110	21238	361429111	21451	361616
112	21634	361270
113	21771	360186
114	21948	359761
115	22147	359701
116	22321	359243
117	22530	359344
118	22690	358668
119	22888	358585
120	23048	357916
121	23216	357388
122	23383	356829
1123	23546	3562421124	23709	3556441125	23872	3550571126	24011	3541281127	24180	3536401128	24342	353067129	24500	352425
1130	24731	3528521131	24926	3527451132	25114	3525471133	25263	3518071134	25442	3514791135	25601	3508901136	25753	3502091137	25915	349667138	26083	349219
139	26264	348938
